t_seconds,cum_sims
0.0,10
0.0,90
4.0,280
4.0,130
4.0,60
5.0,170
7.0,110
9.0,40
10.0,100
10.0,120
11.0,200
11.0,270
11.0,180
13.0,30
15.0,160
16.0,310
17.0,300
17.0,230
18.0,250
18.0,50
19.0,20
19.0,340
19.0,140
21.0,260
22.0,150
22.0,80
23.0,190
25.0,240
26.0,350
26.0,370
27.0,380
29.0,70
30.0,210
32.0,330
34.0,360
34.0,290
35.0,390
37.0,400
39.0,220
46.0,320
50.0,470
50.0,450
52.0,410
56.0,480
56.0,500
59.0,440
64.0,660
64.0,420
70.0,430
70.0,610
73.0,490
75.0,510
75.0,530
75.0,540
80.0,590
80.0,460
81.0,650
81.0,620
81.0,640
82.0,520
84.0,580
87.0,570
87.0,560
88.0,550
95.0,630
102.0,600
