t_seconds,cum_sims
0.211035,1
0.214195,2
0.214727,3
0.215698,4
0.22782,5
0.236629,6
0.237216,7
0.254013,8
0.260853,9
0.262876,10
0.283768,11
0.285623,12
0.304434,13
0.306957,14
0.308474,15
0.310899,16
0.312946,17
0.31305,18
0.313547,19
0.318448,20
0.319165,21
0.321202,22
0.328302,23
0.335854,24
0.336847,25
0.33707,26
0.348456,27
0.354106,28
0.365162,29
0.365895,30
0.366924,31
0.373429,32
0.387335,33
0.387871,34
0.413721,35
0.414793,36
0.416212,37
0.419327,38
0.423985,39
0.424319,40
0.424581,41
0.428547,42
0.430098,43
0.434973,44
0.437565,45
0.43759,46
0.440466,47
0.44499,48
0.449084,49
0.453449,50
0.453455,51
0.453786,52
0.463537,53
0.46984,54
0.503478,55
0.515904,56
0.518627,57
0.527602,58
0.558569,59
0.559141,60
0.583491,61
0.584022,62
0.590686,63
0.617632,64
0.622622,65
0.623941,66
0.648957,67
0.650654,68
0.656692,69
0.66179,70
0.672963,71
0.680139,72
0.692867,73
0.706993,74
0.7077,75
0.714622,76
0.7162,77
0.717835,78
0.71791,79
0.723232,80
0.739147,81
0.753828,82
0.767894,83
0.776556,84
0.793746,85
0.80157,86
0.857286,87
0.903229,88
0.914908,89
1.000774,90
1.068055,91
1.082021,92
1.118418,93
1.2791,94
1.339576,95
1.352225,96
1.37108,97
1.37359,98
1.37492,99
1.376767,100
1.382433,101
1.389439,102
1.402703,103
1.405576,104
1.421812,105
1.422844,106
1.439446,107
1.5954,108
1.636057,109
1.636752,110
1.638864,111
1.643268,112
1.64723,113
1.676157,114
1.686453,115
1.693939,116
1.697282,117
1.720987,118
1.728636,119
1.729879,120
1.73875,121
1.751887,122
1.754888,123
1.757363,124
1.759513,125
1.774096,126
1.775578,127
1.7797,128
1.784281,129
1.792998,130
1.795108,131
1.822846,132
1.830941,133
1.838561,134
1.852866,135
1.860244,136
1.877015,137
1.881819,138
1.900875,139
1.902309,140
1.910973,141
1.914774,142
1.932858,143
1.935246,144
1.939915,145
1.956492,146
1.98289,147
1.990298,148
2.028704,149
2.084184,150
2.115794,151
2.119054,152
2.140817,153
2.145653,154
2.14676,155
2.174672,156
2.175026,157
2.175716,158
2.190087,159
2.218699,160
2.227889,161
2.258036,162
2.25814,163
2.261161,164
2.269577,165
2.299495,166
2.312175,167
2.317671,168
2.332724,169
2.359335,170
2.369935,171
2.408083,172
2.408851,173
2.411338,174
2.429052,175
2.432682,176
2.480406,177
2.556148,178
2.582546,179
2.586305,180
