t_seconds,cum_sims
7.9,1
7.9,2
7.9,3
7.9,4
8.0,5
8.0,6
8.0,7
8.0,8
8.0,9
8.0,10
8.0,11
8.0,12
8.0,13
8.0,14
8.0,15
8.0,16
8.0,17
8.0,18
8.0,19
8.0,20
8.0,21
8.0,22
8.0,23
8.0,24
8.0,25
8.0,26
8.0,27
8.0,28
8.0,29
8.0,30
8.0,31
8.0,32
8.0,33
8.0,34
8.0,35
8.1,36
8.1,37
8.1,38
8.1,39
8.1,40
8.1,41
8.1,42
8.1,43
8.1,44
8.1,45
8.1,46
8.1,47
8.1,48
8.1,49
8.1,50
8.1,51
8.1,52
8.1,53
8.1,54
8.1,55
8.1,56
8.1,57
8.1,58
8.1,59
8.1,60
8.1,61
8.1,62
8.1,63
8.1,64
8.1,65
8.1,66
8.1,67
8.1,68
8.1,69
8.1,70
8.1,71
8.1,72
8.1,73
8.1,74
8.1,75
8.2,76
8.2,77
8.2,78
8.2,79
8.2,80
8.2,81
8.2,82
8.2,83
8.2,84
8.2,85
8.2,86
8.2,87
8.2,88
8.2,89
8.2,90
8.2,91
8.2,92
8.2,93
8.2,94
8.2,95
8.2,96
8.2,97
8.2,98
8.2,99
8.2,100
8.2,101
8.2,102
8.2,103
8.2,104
8.2,105
8.2,106
8.2,107
8.2,108
8.2,109
8.2,110
8.2,111
8.2,112
8.2,113
8.2,114
8.2,115
8.2,116
8.2,117
8.2,118
8.2,119
8.2,120
8.2,121
8.3,122
8.3,123
8.3,124
8.3,125
8.3,126
8.3,127
8.3,128
8.3,129
8.3,130
8.3,131
8.3,132
8.3,133
8.3,134
8.3,135
8.3,136
8.3,137
8.3,138
8.3,139
8.3,140
8.3,141
8.3,142
8.3,143
8.3,144
8.3,145
8.3,146
8.3,147
8.3,148
8.3,149
8.3,150
8.3,151
8.3,152
8.3,153
8.3,154
8.3,155
8.3,156
8.3,157
8.3,158
8.3,159
8.3,160
8.3,161
8.3,162
8.3,163
8.3,164
8.3,165
8.3,166
8.3,167
8.4,168
8.4,169
8.4,170
8.4,171
8.4,172
8.4,173
8.4,174
8.4,175
8.4,176
8.4,177
8.4,178
8.4,179
8.4,180
8.4,181
8.4,182
8.4,183
8.4,184
8.4,185
8.4,186
8.4,187
8.4,188
8.4,189
8.4,190
8.4,191
8.4,192
8.4,193
8.4,194
8.4,195
8.4,196
8.4,197
8.4,198
8.4,199
8.4,200
8.4,201
8.4,202
8.4,203
8.4,204
8.4,205
8.4,206
8.4,207
8.4,208
8.4,209
8.4,210
8.4,211
8.4,212
8.4,213
8.4,214
8.4,215
8.4,216
8.4,217
8.4,218
8.4,219
8.4,220
8.4,221
8.4,222
8.5,223
8.5,224
8.5,225
8.5,226
8.5,227
8.5,228
8.5,229
8.5,230
8.5,231
8.5,232
8.5,233
8.5,234
8.5,235
8.5,236
8.5,237
8.5,238
8.5,239
8.5,240
8.5,241
8.5,242
8.5,243
8.5,244
8.5,245
8.5,246
8.5,247
8.5,248
8.5,249
8.5,250
8.5,251
8.5,252
8.5,253
8.5,254
8.5,255
8.5,256
8.5,257
8.5,258
8.5,259
8.5,260
8.5,261
8.5,262
8.5,263
8.5,264
8.5,265
8.5,266
8.5,267
8.5,268
8.5,269
8.5,270
8.5,271
8.5,272
8.5,273
8.5,274
8.5,275
8.5,276
8.5,277
8.5,278
8.5,279
8.5,280
8.5,281
8.5,282
8.5,283
8.5,284
8.5,285
8.5,286
8.5,287
8.5,288
8.5,289
8.5,290
8.5,291
8.5,292
8.5,293
8.5,294
8.5,295
8.5,296
8.5,297
8.5,298
8.5,299
8.5,300
8.5,301
8.5,302
8.5,303
8.5,304
8.5,305
8.5,306
8.5,307
8.5,308
8.5,309
8.5,310
8.5,311
8.5,312
8.5,313
8.5,314
8.5,315
8.5,316
8.5,317
8.5,318
8.5,319
8.5,320
8.5,321
8.5,322
8.5,323
8.5,324
8.5,325
8.5,326
8.5,327
8.5,328
8.5,329
8.5,330
8.5,331
8.5,332
8.5,333
8.5,334
8.5,335
8.5,336
8.5,337
8.5,338
8.5,339
8.6,340
8.6,341
8.6,342
8.6,343
8.6,344
8.6,345
8.6,346
8.6,347
8.6,348
8.6,349
8.6,350
8.6,351
8.6,352
8.6,353
8.6,354
8.6,355
8.6,356
8.6,357
8.6,358
8.6,359
8.6,360
8.6,361
8.6,362
8.6,363
8.6,364
8.6,365
8.6,366
8.6,367
8.6,368
8.6,369
8.6,370
8.6,371
8.6,372
8.6,373
8.6,374
8.6,375
8.6,376
8.6,377
8.6,378
8.6,379
8.6,380
8.6,381
8.6,382
8.6,383
8.6,384
8.6,385
8.6,386
8.6,387
8.6,388
8.6,389
8.6,390
8.6,391
8.6,392
8.6,393
8.6,394
8.6,395
8.6,396
8.6,397
8.6,398
8.6,399
8.6,400
8.6,401
8.6,402
8.6,403
8.6,404
8.6,405
8.6,406
8.6,407
8.6,408
8.6,409
8.6,410
8.6,411
8.6,412
8.6,413
8.6,414
8.6,415
8.6,416
8.6,417
8.6,418
8.6,419
8.6,420
8.6,421
8.6,422
8.6,423
8.6,424
8.6,425
8.6,426
8.6,427
8.6,428
8.6,429
8.6,430
8.6,431
8.6,432
8.6,433
8.6,434
8.6,435
8.6,436
8.6,437
8.6,438
8.6,439
8.6,440
8.6,441
8.6,442
8.6,443
8.6,444
8.6,445
8.6,446
8.6,447
8.6,448
8.6,449
8.6,450
8.6,451
8.6,452
8.7,453
8.7,454
8.7,455
8.7,456
8.7,457
8.7,458
8.7,459
8.7,460
8.7,461
8.7,462
8.7,463
8.7,464
8.7,465
8.7,466
8.7,467
8.7,468
8.7,469
8.7,470
8.7,471
8.7,472
8.7,473
8.7,474
8.7,475
8.7,476
8.7,477
8.7,478
8.7,479
8.7,480
8.7,481
8.7,482
8.7,483
8.7,484
8.7,485
8.7,486
8.7,487
8.7,488
8.7,489
8.7,490
8.7,491
8.7,492
8.7,493
8.7,494
8.7,495
8.7,496
8.7,497
8.7,498
8.7,499
8.7,500
8.7,501
8.7,502
8.7,503
8.7,504
8.7,505
8.7,506
8.7,507
8.7,508
8.7,509
8.7,510
8.7,511
8.7,512
8.7,513
8.7,514
8.7,515
8.7,516
8.7,517
8.7,518
8.7,519
8.7,520
8.7,521
8.7,522
8.7,523
8.7,524
8.7,525
8.7,526
8.7,527
8.7,528
8.7,529
8.7,530
8.7,531
8.7,532
8.7,533
8.7,534
8.7,535
8.7,536
8.7,537
8.7,538
8.7,539
8.7,540
8.7,541
8.7,542
8.7,543
8.7,544
8.7,545
8.7,546
8.7,547
8.7,548
8.7,549
8.7,550
8.7,551
8.7,552
8.7,553
8.7,554
8.7,555
8.7,556
8.7,557
8.7,558
8.7,559
8.8,560
8.8,561
8.8,562
8.8,563
8.8,564
8.8,565
8.8,566
8.8,567
8.8,568
8.8,569
8.8,570
8.8,571
8.8,572
8.8,573
8.8,574
8.8,575
8.8,576
8.8,577
8.8,578
8.8,579
8.8,580
8.8,581
8.8,582
8.8,583
8.8,584
8.8,585
8.8,586
8.8,587
8.8,588
8.8,589
8.8,590
8.8,591
8.8,592
8.8,593
8.8,594
8.8,595
8.8,596
8.8,597
8.8,598
8.8,599
8.8,600
8.8,601
8.8,602
8.8,603
8.8,604
8.8,605
8.8,606
8.8,607
8.8,608
8.8,609
8.8,610
8.8,611
8.8,612
8.8,613
8.8,614
8.8,615
8.8,616
8.8,617
8.8,618
8.8,619
8.8,620
8.8,621
8.8,622
8.8,623
8.8,624
8.8,625
8.8,626
8.8,627
8.8,628
8.8,629
8.8,630
8.8,631
8.8,632
8.8,633
8.8,634
8.8,635
8.8,636
8.8,637
8.8,638
8.8,639
8.8,640
8.8,641
8.8,642
8.9,643
8.9,644
8.9,645
8.9,646
8.9,647
8.9,648
8.9,649
8.9,650
8.9,651
8.9,652
8.9,653
8.9,654
8.9,655
8.9,656
8.9,657
8.9,658
8.9,659
8.9,660
8.9,661
8.9,662
8.9,663
8.9,664
8.9,665
8.9,666
8.9,667
8.9,668
8.9,669
8.9,670
8.9,671
8.9,672
8.9,673
8.9,674
8.9,675
8.9,676
8.9,677
8.9,678
8.9,679
8.9,680
8.9,681
8.9,682
8.9,683
8.9,684
8.9,685
8.9,686
8.9,687
8.9,688
8.9,689
8.9,690
8.9,691
8.9,692
8.9,693
8.9,694
8.9,695
8.9,696
8.9,697
8.9,698
8.9,699
8.9,700
8.9,701
8.9,702
8.9,703
8.9,704
8.9,705
8.9,706
8.9,707
8.9,708
8.9,709
8.9,710
8.9,711
8.9,712
8.9,713
8.9,714
8.9,715
8.9,716
8.9,717
8.9,718
8.9,719
8.9,720
8.9,721
8.9,722
8.9,723
8.9,724
8.9,725
8.9,726
8.9,727
8.9,728
8.9,729
8.9,730
9.0,731
9.0,732
9.0,733
9.0,734
9.0,735
9.0,736
9.0,737
9.0,738
9.0,739
9.0,740
9.0,741
9.0,742
9.0,743
9.0,744
9.0,745
9.0,746
9.0,747
9.0,748
9.0,749
9.0,750
9.0,751
9.0,752
9.0,753
9.0,754
9.0,755
9.0,756
9.0,757
9.0,758
9.0,759
9.0,760
9.0,761
9.0,762
9.0,763
9.0,764
9.0,765
9.0,766
9.0,767
9.0,768
9.0,769
9.0,770
9.0,771
9.0,772
9.0,773
9.0,774
9.0,775
9.0,776
9.0,777
9.0,778
9.0,779
9.0,780
9.0,781
9.0,782
9.0,783
9.0,784
9.0,785
9.0,786
9.0,787
9.0,788
9.0,789
9.0,790
9.0,791
9.0,792
9.0,793
9.0,794
9.0,795
9.0,796
9.0,797
9.0,798
9.0,799
9.0,800
9.0,801
9.0,802
9.0,803
9.0,804
9.0,805
9.0,806
9.0,807
9.0,808
9.0,809
9.0,810
9.0,811
9.0,812
