t_seconds,cum_sims
8.8,1
8.8,2
8.8,3
8.8,4
8.9,5
8.9,6
8.9,7
8.9,8
8.9,9
8.9,10
8.9,11
8.9,12
8.9,13
8.9,14
9.0,15
9.0,16
9.0,17
9.0,18
9.0,19
9.0,20
9.0,21
9.0,22
9.0,23
9.0,24
9.0,25
9.0,26
9.1,27
9.1,28
9.1,29
9.1,30
9.1,31
9.1,32
9.1,33
9.1,34
9.1,35
9.1,36
9.1,37
9.2,38
9.2,39
9.2,40
9.2,41
9.2,42
9.2,43
9.2,44
9.2,45
9.2,46
9.2,47
9.2,48
9.2,49
9.2,50
9.2,51
9.2,52
9.2,53
9.2,54
9.2,55
9.2,56
9.2,57
9.2,58
9.2,59
9.2,60
9.2,61
9.2,62
9.2,63
9.2,64
9.2,65
9.2,66
9.3,67
9.3,68
9.3,69
9.3,70
9.3,71
9.3,72
9.3,73
9.3,74
9.3,75
9.3,76
9.3,77
9.3,78
9.3,79
9.3,80
9.3,81
9.3,82
9.3,83
9.3,84
9.3,85
9.3,86
9.3,87
9.3,88
9.3,89
9.3,90
9.3,91
9.3,92
9.3,93
9.3,94
9.3,95
9.3,96
9.3,97
9.3,98
9.3,99
9.3,100
9.3,101
9.3,102
9.4,103
9.4,104
9.4,105
9.4,106
9.4,107
9.4,108
9.4,109
9.4,110
9.4,111
9.4,112
9.4,113
9.4,114
9.4,115
9.4,116
9.4,117
9.4,118
9.4,119
9.4,120
9.4,121
9.4,122
9.4,123
9.4,124
9.4,125
9.4,126
9.4,127
9.4,128
9.4,129
9.4,130
9.4,131
9.4,132
9.4,133
9.4,134
9.4,135
9.4,136
9.4,137
9.4,138
9.4,139
9.5,140
9.5,141
9.5,142
9.5,143
9.5,144
9.5,145
9.5,146
9.5,147
9.5,148
9.5,149
9.5,150
9.5,151
9.5,152
9.5,153
9.5,154
9.5,155
9.5,156
9.5,157
9.5,158
9.5,159
9.5,160
9.5,161
9.5,162
9.5,163
9.5,164
9.5,165
9.5,166
9.5,167
9.5,168
9.5,169
9.5,170
9.5,171
9.5,172
9.5,173
9.5,174
9.5,175
9.5,176
9.5,177
9.5,178
9.5,179
9.5,180
9.5,181
9.5,182
9.6,183
9.6,184
9.6,185
9.6,186
9.6,187
9.6,188
9.6,189
9.6,190
9.6,191
9.6,192
9.6,193
9.6,194
9.6,195
9.6,196
9.6,197
9.6,198
9.6,199
9.6,200
9.6,201
9.6,202
9.6,203
9.6,204
9.6,205
9.6,206
9.6,207
9.6,208
9.6,209
9.6,210
9.6,211
9.6,212
9.6,213
9.6,214
9.6,215
9.7,216
9.7,217
