t_seconds,cum_sims
8.0,1
8.0,2
8.1,3
8.1,4
8.1,5
8.1,6
8.1,7
8.1,8
8.1,9
8.1,10
8.1,11
8.1,12
8.2,13
8.2,14
8.2,15
8.2,16
8.2,17
8.2,18
8.2,19
8.2,20
8.2,21
8.2,22
8.2,23
8.2,24
8.2,25
8.2,26
8.2,27
8.2,28
8.2,29
8.2,30
8.2,31
8.2,32
8.3,33
8.3,34
8.3,35
8.3,36
8.3,37
8.3,38
8.3,39
8.3,40
8.3,41
8.3,42
8.3,43
8.3,44
8.3,45
8.3,46
8.3,47
8.3,48
8.4,49
8.4,50
8.4,51
8.4,52
8.4,53
8.4,54
8.4,55
8.4,56
8.4,57
8.4,58
8.4,59
8.4,60
8.5,61
8.5,62
8.5,63
8.5,64
8.5,65
8.5,66
8.5,67
8.5,68
8.5,69
8.5,70
8.5,71
8.5,72
8.5,73
8.5,74
8.5,75
8.5,76
8.5,77
8.5,78
8.5,79
8.5,80
8.5,81
8.5,82
8.6,83
8.6,84
8.6,85
8.6,86
8.6,87
8.6,88
8.6,89
8.6,90
8.6,91
8.6,92
8.6,93
8.6,94
8.6,95
8.6,96
8.6,97
8.6,98
8.6,99
8.6,100
8.6,101
8.6,102
8.6,103
8.6,104
8.6,105
8.6,106
8.6,107
8.6,108
8.6,109
8.6,110
8.6,111
8.7,112
8.7,113
8.7,114
8.7,115
8.7,116
8.7,117
8.7,118
8.7,119
8.7,120
8.7,121
8.7,122
8.7,123
8.7,124
8.7,125
8.7,126
8.7,127
8.7,128
8.7,129
8.7,130
8.7,131
8.7,132
8.7,133
8.7,134
8.7,135
8.7,136
8.7,137
8.7,138
8.7,139
8.7,140
8.7,141
8.7,142
8.7,143
8.7,144
8.7,145
8.7,146
8.7,147
8.7,148
8.7,149
8.7,150
8.7,151
8.7,152
8.7,153
8.7,154
8.7,155
8.7,156
8.7,157
8.7,158
8.7,159
8.7,160
8.7,161
8.7,162
8.7,163
8.7,164
8.7,165
