task_id,elapsed_seconds,start_time,end_time,node
1,41,2026-05-31T00:45:06,2026-05-31T00:45:47,ac001
2,60,2026-05-31T00:45:06,2026-05-31T00:46:06,ac007
3,54,2026-05-31T00:45:06,2026-05-31T00:46:00,ac009
4,50,2026-05-31T00:45:06,2026-05-31T00:45:56,ac022
5,59,2026-05-31T00:45:06,2026-05-31T00:46:05,ac036
6,45,2026-05-31T00:45:06,2026-05-31T00:45:51,ac066
7,70,2026-05-31T00:45:06,2026-05-31T00:46:16,ac110
8,63,2026-05-31T00:45:06,2026-05-31T00:46:09,ac026
9,41,2026-05-31T00:45:06,2026-05-31T00:45:47,ac026
10,51,2026-05-31T00:45:06,2026-05-31T00:45:57,ac030
11,47,2026-05-31T00:45:07,2026-05-31T00:45:54,ac030
12,50,2026-05-31T00:45:07,2026-05-31T00:45:57,ac052
13,44,2026-05-31T00:45:07,2026-05-31T00:45:51,ac053
14,59,2026-05-31T00:45:07,2026-05-31T00:46:06,ac017
15,62,2026-05-31T00:45:07,2026-05-31T00:46:09,ac017
16,55,2026-05-31T00:45:07,2026-05-31T00:46:02,ac017
17,45,2026-05-31T00:45:07,2026-05-31T00:45:52,ac075
18,51,2026-05-31T00:45:07,2026-05-31T00:45:58,ac076
19,63,2026-05-31T00:45:07,2026-05-31T00:46:10,ac076
20,51,2026-05-31T00:45:07,2026-05-31T00:45:58,ac033
21,70,2026-05-31T00:45:07,2026-05-31T00:46:17,ac033
22,79,2026-05-31T00:45:07,2026-05-31T00:46:26,ac084
23,57,2026-05-31T00:45:07,2026-05-31T00:46:04,ac108
24,65,2026-05-31T00:45:07,2026-05-31T00:46:12,ac108
25,58,2026-05-31T00:45:07,2026-05-31T00:46:05,ac107
26,61,2026-05-31T00:45:07,2026-05-31T00:46:08,ac107
27,51,2026-05-31T00:45:07,2026-05-31T00:45:58,ac107
28,44,2026-05-31T00:45:07,2026-05-31T00:45:51,ac107
29,74,2026-05-31T00:45:07,2026-05-31T00:46:21,ac088
30,57,2026-05-31T00:45:07,2026-05-31T00:46:04,ac088
31,46,2026-05-31T00:45:17,2026-05-31T00:46:03,ac088
32,76,2026-05-31T00:45:17,2026-05-31T00:46:33,ac088
33,62,2026-05-31T00:45:17,2026-05-31T00:46:19,ac088
34,49,2026-05-31T00:45:17,2026-05-31T00:46:06,ac088
35,56,2026-05-31T00:45:17,2026-05-31T00:46:13,ac088
36,64,2026-05-31T00:45:17,2026-05-31T00:46:21,ac088
37,56,2026-05-31T00:45:17,2026-05-31T00:46:13,ac088
38,57,2026-05-31T00:45:17,2026-05-31T00:46:14,ac088
39,65,2026-05-31T00:45:17,2026-05-31T00:46:22,ac072
40,67,2026-05-31T00:45:17,2026-05-31T00:46:24,ac072
41,42,2026-05-31T00:45:57,2026-05-31T00:46:39,ac001
42,53,2026-05-31T00:45:58,2026-05-31T00:46:51,ac022
43,59,2026-05-31T00:45:58,2026-05-31T00:46:57,ac026
44,48,2026-05-31T00:45:58,2026-05-31T00:46:46,ac066
45,39,2026-05-31T00:45:58,2026-05-31T00:46:37,ac075
46,69,2026-05-31T00:45:58,2026-05-31T00:47:07,ac107
47,39,2026-05-31T00:45:58,2026-05-31T00:46:37,ac030
48,45,2026-05-31T00:45:58,2026-05-31T00:46:43,ac030
49,62,2026-05-31T00:45:58,2026-05-31T00:47:00,ac052
50,45,2026-05-31T00:45:58,2026-05-31T00:46:43,ac053
51,55,2026-05-31T00:46:07,2026-05-31T00:47:02,ac007
52,62,2026-05-31T00:46:07,2026-05-31T00:47:09,ac009
53,55,2026-05-31T00:46:07,2026-05-31T00:47:02,ac036
54,55,2026-05-31T00:46:07,2026-05-31T00:47:02,ac076
55,68,2026-05-31T00:46:07,2026-05-31T00:47:15,ac017
56,67,2026-05-31T00:46:07,2026-05-31T00:47:14,ac017
57,67,2026-05-31T00:46:07,2026-05-31T00:47:14,ac033
58,64,2026-05-31T00:46:07,2026-05-31T00:47:11,ac088
59,60,2026-05-31T00:46:07,2026-05-31T00:47:07,ac088
60,82,2026-05-31T00:46:07,2026-05-31T00:47:29,ac088
61,50,2026-05-31T00:46:07,2026-05-31T00:46:57,ac108
62,61,2026-05-31T00:46:07,2026-05-31T00:47:08,ac107
63,75,2026-05-31T00:46:07,2026-05-31T00:47:22,ac107
64,51,2026-05-31T00:46:17,2026-05-31T00:47:08,ac017
65,51,2026-05-31T00:46:17,2026-05-31T00:47:08,ac026
66,34,2026-05-31T00:46:17,2026-05-31T00:46:51,ac076
