framework,transmission,tagLength,immunity,penalty,survived,peak_sick_percentage,avg_sick_percentage,final_population,final_gini,final_happiness,total_deaths,duration_seconds,delta_final_gini,delta_final_happiness,count
altruist,0.05,5.0,10.0,0.0,1.0,2.4,0.0023976023976023,153.0,0.292,1.03,97.0,9.1,-0.008,-0.02,1
altruist,0.05,5.0,10.0,0.001,1.0,0.0,0.0,156.0,0.303,1.05,94.0,9.4,0.003,0.0,1
altruist,0.05,5.0,10.0,0.0025,1.0,0.0,0.0,156.0,0.303,1.05,94.0,10.6,0.003,0.0,1
altruist,0.05,5.0,10.0,0.005,1.0,0.0,0.0,156.0,0.303,1.05,94.0,8.6,0.003,0.0,1
altruist,0.05,5.0,10.0,0.01,1.0,0.0,0.0,156.0,0.303,1.05,94.0,10.5,0.003,0.0,1
altruist,0.05,5.0,10.0,0.1,1.0,0.0,0.0,156.0,0.303,1.05,94.0,9.4,0.003,0.0,1
altruist,0.05,5.0,10.0,0.25,1.0,0.0,0.0,156.0,0.303,1.05,94.0,10.4,0.003,0.0,1
altruist,0.05,5.0,10.0,0.5,1.0,0.0,0.0,156.0,0.303,1.05,94.0,10.6,0.003,0.0,1
altruist,0.05,5.0,35.0,0.0,1.0,2.0,0.0019980019980019,145.0,0.287,1.03,105.0,10.0,-0.013,-0.02,1
altruist,0.05,5.0,35.0,0.001,1.0,0.0,0.0,145.0,0.279,1.02,105.0,8.2,-0.0209999999999999,-0.03,1
altruist,0.05,5.0,35.0,0.0025,1.0,0.0,0.0,145.0,0.279,1.02,105.0,8.6,-0.0209999999999999,-0.03,1
altruist,0.05,5.0,35.0,0.005,1.0,0.0,0.0,145.0,0.279,1.02,105.0,9.8,-0.0209999999999999,-0.03,1
altruist,0.05,5.0,35.0,0.01,1.0,0.0,0.0,145.0,0.279,1.02,105.0,9.5,-0.0209999999999999,-0.03,1
altruist,0.05,5.0,35.0,0.1,1.0,0.0,0.0,145.0,0.279,1.02,105.0,10.0,-0.0209999999999999,-0.03,1
altruist,0.05,5.0,35.0,0.25,1.0,0.0,0.0,145.0,0.279,1.02,105.0,9.8,-0.0209999999999999,-0.03,1
altruist,0.05,5.0,35.0,0.5,1.0,0.0,0.0,145.0,0.279,1.02,105.0,8.8,-0.0209999999999999,-0.03,1
altruist,0.05,5.0,60.0,0.0,1.0,2.0,0.0019980019980019,154.0,0.287,1.0,96.0,8.8,-0.013,-0.05,1
altruist,0.05,5.0,60.0,0.001,1.0,0.0,0.0,155.0,0.29,0.95,95.0,9.0,-0.01,-0.1,1
altruist,0.05,5.0,60.0,0.0025,1.0,0.0,0.0,155.0,0.29,0.95,95.0,8.6,-0.01,-0.1,1
altruist,0.05,5.0,60.0,0.005,1.0,0.0,0.0,155.0,0.29,0.95,95.0,9.1,-0.01,-0.1,1
altruist,0.05,5.0,60.0,0.01,1.0,0.0,0.0,155.0,0.29,0.95,95.0,9.1,-0.01,-0.1,1
altruist,0.05,5.0,60.0,0.1,1.0,0.0,0.0,155.0,0.29,0.95,95.0,10.6,-0.01,-0.1,1
altruist,0.05,5.0,60.0,0.25,1.0,0.0,0.0,155.0,0.29,0.95,95.0,10.0,-0.01,-0.1,1
altruist,0.05,5.0,60.0,0.5,1.0,0.0,0.0,155.0,0.29,0.95,95.0,8.6,-0.01,-0.1,1
altruist,0.05,13.0,10.0,0.0,1.0,100.0,88.3527172827173,155.0,0.292,-0.95,95.0,11.8,-0.008,-2.0,1
