framework,penalty,survival_rate
altruist,0.0,1.0
altruist,0.001,1.0
altruist,0.0025,1.0
altruist,0.005,1.0
altruist,0.01,1.0
altruist,0.1,1.0
altruist,0.25,1.0
altruist,0.5,1.0
asimov,0.0,1.0
asimov,0.001,1.0
asimov,0.0025,1.0
asimov,0.005,1.0
asimov,0.01,1.0
asimov,0.1,1.0
asimov,0.25,1.0
asimov,0.5,1.0
bentham,0.0,1.0
bentham,0.001,1.0
bentham,0.0025,1.0
bentham,0.005,1.0
bentham,0.01,1.0
bentham,0.1,1.0
bentham,0.25,1.0
bentham,0.5,1.0
egoist,0.0,1.0
egoist,0.001,1.0
egoist,0.0025,1.0
egoist,0.005,1.0
egoist,0.01,1.0
egoist,0.1,1.0
egoist,0.25,1.0
egoist,0.5,1.0
negativeBentham,0.0,1.0
negativeBentham,0.001,1.0
negativeBentham,0.0025,1.0
negativeBentham,0.005,1.0
negativeBentham,0.01,1.0
negativeBentham,0.1,1.0
negativeBentham,0.25,1.0
negativeBentham,0.5,1.0
none,0.0,1.0
none,0.001,1.0
none,0.0025,1.0
none,0.005,1.0
none,0.01,1.0
none,0.1,1.0
none,0.25,1.0
none,0.5,1.0
temperance,0.0,1.0
temperance,0.001,1.0
temperance,0.0025,1.0
temperance,0.005,1.0
temperance,0.01,1.0
temperance,0.1,1.0
temperance,0.25,1.0
temperance,0.5,1.0
temperancePECS,0.0,1.0
temperancePECS,0.001,1.0
temperancePECS,0.0025,1.0
temperancePECS,0.005,1.0
temperancePECS,0.01,1.0
temperancePECS,0.1,1.0
temperancePECS,0.25,1.0
temperancePECS,0.5,1.0
