job_id,run_type,framework,diseaseTransmissionChance,diseaseTagStringLength,agentImmuneSystemLength,diseaseSugarMetabolismPenalty,duration_seconds,peak_memory_mb,status
511,disease,bentham,1.0,5,10,0.5,0.5,22.44,OK
512,disease,bentham,1.0,5,10,1,0.3,23.48,OK
513,disease,bentham,1.0,5,10,2,0.3,23.54,OK
514,disease,bentham,1.0,5,10,3,0.3,24.2,OK
515,disease,bentham,1.0,5,35,0,16.2,30.62,OK
516,disease,bentham,1.0,5,35,0.1,0.4,24.21,OK
517,disease,bentham,1.0,5,35,0.25,0.4,24.67,OK
518,disease,bentham,1.0,5,35,0.5,0.4,22.75,OK
519,disease,bentham,1.0,5,35,1,0.4,23.81,OK
520,disease,bentham,1.0,5,35,2,0.4,24.19,OK
521,disease,bentham,1.0,5,35,3,0.4,23.48,OK
522,disease,bentham,1.0,5,60,0,17.0,30.41,OK
523,disease,bentham,1.0,5,60,0.1,5.4,29.15,OK
524,disease,bentham,1.0,5,60,0.25,5.3,26.31,OK
525,disease,bentham,1.0,5,60,0.5,5.5,25.89,OK
526,disease,bentham,1.0,5,60,1,5.4,25.13,OK
527,disease,bentham,1.0,5,60,2,5.1,25.41,OK
528,disease,bentham,1.0,5,60,3,5.1,24.22,OK
529,disease,bentham,1.0,13,10,0,26.9,31.45,OK
530,disease,bentham,1.0,13,10,0.1,0.3,27.45,OK
531,disease,bentham,1.0,13,10,0.25,0.3,24.43,OK
532,disease,bentham,1.0,13,10,0.5,0.3,23.5,OK
533,disease,bentham,1.0,13,10,1,0.3,23.78,OK
534,disease,bentham,1.0,13,10,2,0.3,22.75,OK
535,disease,bentham,1.0,13,10,3,0.3,22.75,OK
536,disease,bentham,1.0,13,35,0,25.7,31.12,OK
537,disease,bentham,1.0,13,35,0.1,0.4,24.41,OK
538,disease,bentham,1.0,13,35,0.25,0.4,27.51,OK
539,disease,bentham,1.0,13,35,0.5,0.4,22.59,OK
540,disease,bentham,1.0,13,35,1,0.4,22.47,OK
