job_id,run_type,framework,diseaseTransmissionChance,diseaseTagStringLength,agentImmuneSystemLength,diseaseSugarMetabolismPenalty,duration_seconds,status
601,disease,temperancePECS,0.3,21,60,2,0.7,OK
602,disease,temperancePECS,0.3,21,60,3,0.7,OK
603,disease,temperancePECS,0.6,5,10,0,15.5,OK
604,disease,temperancePECS,0.6,5,10,2,0.4,OK
605,disease,temperancePECS,0.6,5,10,3,0.4,OK
606,disease,temperancePECS,0.6,5,35,0,13.3,OK
607,disease,temperancePECS,0.6,5,35,2,0.7,OK
608,disease,temperancePECS,0.6,5,35,3,0.7,OK
609,disease,temperancePECS,0.6,5,60,0,13.8,OK
610,disease,temperancePECS,0.6,5,60,2,3.3,OK
